genome_name	genome_fpath	batch	barcode	genus	read_filename	subreadset_xml_fpath
batch6_bc1012_metaflye_ccs_contig_111_Prochlorococcus_C_sp000760295	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1012_metaflye_ccs_contig_111_Prochlorococcus_C_sp000760295.fasta	batch6	bc1012	Prochlorococcus	demux_subreadset.bc1012--bc1012.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1012--bc1012.subreadset.xml
batch6_bc1015_metaflye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1015_metaflye_ccs_contig_1_Prochlorococcus_C.fasta	batch6	bc1015	Prochlorococcus	demux_subreadset.bc1015--bc1015.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1015--bc1015.subreadset.xml
batch6_bc1016_metaflye_ccs_contig_98_Prochlorococcus_marinus	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1016_metaflye_ccs_contig_98_Prochlorococcus_marinus.fasta	batch6	bc1016	Prochlorococcus	demux_subreadset.bc1016--bc1016.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1016--bc1016.subreadset.xml
batch6_bc1017_metaflye_ccs_contig_1_Synechococcus_C_sp000153825	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1017_metaflye_ccs_contig_1_Synechococcus_C_sp000153825.fasta	batch6	bc1017	Synechococcus	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch6_bc1018_metaflye_ccs_contig_65_Prochlorococcus_marinus	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1018_metaflye_ccs_contig_65_Prochlorococcus_marinus.fasta	batch6	bc1018	Prochlorococcus	demux_subreadset.bc1018--bc1018.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1018--bc1018.subreadset.xml
batch7_bc1015_metaflye_ccs_contig_85_Prochlorococcus_A_marinus_J	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch7_bc1015_metaflye_ccs_contig_85_Prochlorococcus_A_marinus_J.fasta	batch7	bc1015	Prochlorococcus	demux_subreadset.bc1015--bc1015.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch7/1/lima_demux/demux_subreadset.bc1015--bc1015.subreadset.xml
batch7_bc1016_metaflye_ccs_contig_37_Prochlorococcus_C_sp000760295	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch7_bc1016_metaflye_ccs_contig_37_Prochlorococcus_C_sp000760295.fasta	batch7	bc1016	Prochlorococcus	demux_subreadset.bc1016--bc1016.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch7/1/lima_demux/demux_subreadset.bc1016--bc1016.subreadset.xml
batch7_bc1016_metaflye_subreadset_contig_103_Rhodobacteraceae	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch7_bc1016_metaflye_subreadset_contig_103_Rhodobacteraceae.fasta	batch7	bc1016	Rhodobacteraceae	demux_subreadset.bc1016--bc1016.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch7/1/lima_demux/demux_subreadset.bc1016--bc1016.subreadset.xml
batch7_bc1017_metaflye_ccs_contig_87_Prochlorococcus_A_marinus_J	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch7_bc1017_metaflye_ccs_contig_87_Prochlorococcus_A_marinus_J.fasta	batch7	bc1017	Prochlorococcus	demux_subreadset.bc1017--bc1017.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch7/1/lima_demux/demux_subreadset.bc1017--bc1017.subreadset.xml
batch7_bc1018_metaflye_ccs_contig_170_Prochlorococcus_C_sp000760295	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch7_bc1018_metaflye_ccs_contig_170_Prochlorococcus_C_sp000760295.fasta	batch7	bc1018	Prochlorococcus	demux_subreadset.bc1018--bc1018.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch7/1/lima_demux/demux_subreadset.bc1018--bc1018.subreadset.xml
